ProjectName,Area,Manager
Microsoft.AspNetCore.Routing.Tests,Routing,Andrew
Microsoft.AspNetCore.Server.HttpSys.FunctionalTests,Servers,Andrew
Microsoft.AspNetCore.Server.HttpSys.Tests,Servers,Andrew
Microsoft.AspNetCore.Server.IISIntegration.Tests,Servers,Andrew
Microsoft.AspNetCore.Server.Kestrel.Core.Tests,Servers,Andrew
Microsoft.AspNetCore.Server.Kestrel.Tests,Servers,Andrew
Microsoft.AspNetCore.Server.Kestrel.Transport.Libuv.Tests,Servers,Andrew
Microsoft.AspNetCore.Session.Tests,Middleware,Andrew
Microsoft.AspNetCore.Shared.Tests,,
Microsoft.AspNetCore.SignalR.Client.FunctionalTests,SignalR,Andrew
Microsoft.AspNetCore.SignalR.Client.Tests,SignalR,Andrew
Microsoft.AspNetCore.SignalR.Common.Tests,SignalR,Andrew
Microsoft.AspNetCore.SignalR.StackExchangeRedis.Tests,SignalR,Andrew
Microsoft.AspNetCore.SignalR.Tests,SignalR,Andrew
Microsoft.AspNetCore.SpaServices.Extensions.Tests,SPA,Artak
Microsoft.AspNetCore.SpaServices.Tests,SPA,Artak
Microsoft.AspNetCore.StaticFiles.FunctionalTests,Middleware,Andrew
Microsoft.AspNetCore.StaticFiles.Tests,Middleware,Andrew
Microsoft.AspNetCore.TestHost.Tests,Hosting,Andrew
Microsoft.AspNetCore.Tests,Hosting,Andrew
Microsoft.AspNetCore.WebSockets.ConformanceTests,SignalR,Andrew
Microsoft.AspNetCore.WebSockets.Tests,SignalR,Andrew
Microsoft.AspNetCore.WebUtilities.Tests,Http,Andrew
Microsoft.Extensions.ApiDescription.Client.Tests,MVC,Artak
Microsoft.Extensions.Diagnostics.HealthChecks.EntityFrameworkCore.Tests,HealthChecks,Artak
Microsoft.Net.Http.Headers.Tests,Http,Andrew
Microsoft.Web.Xdt.Extensions.Tests,,
MusicStore.Test,Templates,Artak
Sockets.BindTests,Servers,Andrew
Sockets.FunctionalTests,Servers,Andrew
